"公司","法人","电话","邮箱","地址"
"深圳市瑞麟科技有限公司","王占阳","0755-82967058","2328932334@qq.com","深圳市福田区莲花街道新闻路1号中电信息大厦东座2209、2210室"
"深圳原驰三维技术有限公司","钟刚","13480986331","13480986331@qq.com","深圳市福田区沙头街道天安社区泰然九路与泰然六路交汇处红松大厦A区12C3"
"深圳市鑫迅维科技有限公司","孙景轩","18665318128","18665318128@163.com","深圳市宝安区福永街道福永社区福海科技工业园A2栋201"
"深圳华大九天科技有限公司","刘伟平","0755-61168669","job@empyrean.com.cn","深圳市福田区福保街道福保社区桃花路与槟榔道交汇处西北深九科技创业园5号楼1001"
"深圳博泰尔生物技术有限公司","曹成奎","0755-22202135","3245347130@qq.com","深圳市福田区园岭街道华林社区八卦六街23号八卦岭工业区541栋508"
"晶通半导体（深圳）有限公司","刘丹","0755-82520965","dandan.chen@jtmicroelectronics.com","深圳市福田区梅林街道梅都社区中康路136号深圳新一代产业园1栋320-323"
"深圳道童新能源有限公司","刘富德","15602914838","jliu@daonergy.com","深圳市福田区梅林街道梅都社区中康路136号深圳新一代产业园1栋407"
"深圳英狮科技有限公司","叶培","13725544682","gongq@anxing.com.cn","深圳市福田区沙头街道车公庙天安数码城时代大厦b座3楼"
"undefined",,,,
"深圳市天宇通电子科技有限公司","颜永诚","13923406371","847332621@qq.com","深圳市福田区沙头街道车公庙工业区泰然212栋701"
"深圳华域佳泰纺织科技有限公司","王华","0755-83327792","info@finetexsz.com","深圳市福田区华强北街道华航社区振华路122号海外装饰大厦2栋A座901"
"深圳市乐声源科技有限公司","李春林","13145838997","2378607234@qq.com","深圳市福田区沙头街道天安社区泰然八路18号安华小区4栋七层"
"深圳资江实业有限公司","高中华","0755-25884971","412905592@qq.com","深圳市福田区八卦路众鑫科技大厦1505房(仅供办公)"
"中建科工集团运营管理有限公司","杨正军","0755-86518558","zjkgyygs@cscec.com","深圳市福田区沙头街道天安社区泰然八路25号泰然科技园水松大厦19A、19B、19C、19D-19A"
"深圳市德商威科技有限公司","魏巍","13006602978","790086661@qq.com","深圳市福田区梅林街道梅亭社区奥士达路4号奥士达大厦A栋二层216"
"深圳市箓华科技有限责任公司","张羽","0755-83190557","admin@csc-ic.com","深圳市福田区上梅林广夏路菉华科技大楼706"
"朗链科技（深圳）有限公司","钟玉燕","-","mono.hu@cbscs.com","深圳市福田区沙头街道天安社区深南大道6021号喜年中心B栋1101"
"航天广通科技（深圳）有限公司","李晓林","0755-26957101","570210330@qq.com","深圳市福田区皇岗路皇岗花园大厦裙楼第3层第3号"
"深圳雪芽创新科技有限公司","孙喆","19383313208","candice@snowbud.cn","深圳市福田区南园街道巴登社区南园路66号佳兆业中心B座711"
"顾云咨询服务（深圳）有限公司","林志明","0755-83215910","3283639665@qq.com","深圳市福田区沙头街道天安社区泰然四路天安创新科技广场一期B座812"
"深圳市集全新能源科技有限公司","韩霞","0755-83957107","459803452@qq.com","深圳市福田区福强路4001号深圳市世纪工艺品文化市场309A栋G6-05A"
"深圳市益希医疗器械有限公司","杨淑琼","13823307890","2471172707@QQ.COM","深圳市福田区福保街道石厦社区石厦北二街西新天世纪商务中心A.B座A3104"
"深圳集秀创意科技有限公司","张晓欢","13530180069","1006499736@qq.com","深圳市福田区福保街道福保社区福田保税区市花路3号花样年.福年广场B栋202-203"
"深圳市国盛建设工程有限公司","庄国栋","0755-83691118","guoshengjianshe@163.com","深圳市福田区福保街道福保社区红棉道8号英达利科技数码园B、C栋C栋202"
"深圳市卓宝科技股份有限公司","邹先华","0755-36800118","fr@zhuobao.com","深圳市福田区卓越梅林中心广场北区2栋16层"
"深圳市盛凯信息科技有限公司","刘玮","0755-33015859","quanhl@sunkee.ent.cn","深圳市福田区车公庙滨河路深业泰然水松大厦6层6C、6D(仅限办公)"
"深圳市新泰医药有限公司","廖文广","0755-83232944","suntay2013@163.com","深圳市福田区上步中路信托工贸大厦北座四楼"
"深圳盟云全息科技有限公司","齐国龙","13682420456","xingzheng@mcloudvr.com","深圳市福田区南园街道滨河大道2001号T-PARK深港影视创意园10楼03单位"
"深圳市度摩科技开发有限公司","陈海涛","0755-83074381","450269661@qq.com","深圳市福田区香蜜湖街道竹园社区农林路69号印力中心12层T1-1202B"
"银雁科技服务集团股份有限公司","陈新华","4007000186","service@cfss.net.cn","深圳市福田区福保街道市花路1号创凌通科技大厦B座16楼"
"深圳市融企动线数字科技有限公司","袁彩萍","13632386712","liangyh@fusiondigit.cn","深圳市福田区园岭街道上林社区八卦三路88-8号清凤荣盛创投大厦403U"
"瀚瑞微电子（深圳）有限公司",,,,
"阿达科机电顾问（深圳）有限公司","叶志兴","13728867278","advarc@advarc.com","深圳市福田区福保街道保税区英达利数码科技园A栋608室"
"深圳威迪芯云科技有限公司","黎春秀","0755-83743909","david@china-best.net","深圳市福田区沙头街道天安社区泰然五路12号天安数码城天祥大厦四层4B1-420A"
"联想万像（深圳）科技有限公司","牟震","13810280594","lenovoimageall@lenovoimga.com","深圳市福田区华强北街道荔村社区振华路与燕南路交汇处华美3号合成厂房304栋3层东北306东306-1"
"深圳市油柑科技有限公司","陈伟轩","0755-82538015","tiantian@youganw.com","深圳市福田区华强北街道华强北路1019号华强广场A座-16N"
"中水智联（深圳）技术有限公司","王玉花","15963972692","chinazszl@163.com","深圳市光明区公明街道西田社区第二工业区第38-B栋403"
"深圳迈润宝科技有限公司","李玮","0755-25159425","372997306@qq.com","深圳市福田区福保街道福保社区市花路8号和合仓储大厦仓储区二层C206室"
"深圳市凌鼎科技有限公司","韩小丽","13751000501","1498046265@qq.com","深圳市福田区福保街道福保社区红花路99号长平商务大厦3806"
